næring (SN2007),2017,2018,2019,2020,pct_change_1y,pct_change_3y
Annen tjenesteyting,21472.0,21822.0,21675.0,21115.0,-2.5836216839677073,-1.6626304023845018
Bergverksdrift og utvinning,33454.0,35383.0,38883.0,39273.0,1.0030090270812364,17.39403359837388
Bygge- og anleggsvirksomhet,226076.0,235647.0,242000.0,242557.0,0.23016528925619006,7.290026362816038
"Faglig, vitenskapelig og teknisk tjenesteyting",123093.0,128275.0,131312.0,130216.0,-0.834653344705738,5.786681614714073
Forretningsmessig tjenesteyting,133234.0,142049.0,147913.0,124767.0,-15.648387903700145,-6.35498446342525
Industri,217542.0,219178.0,220767.0,217917.0,-1.2909538110315366,0.1723805058333472
Informasjon og kommunikasjon,92832.0,95999.0,100855.0,97608.0,-3.2194735015616427,5.1447776628748665
Omsetning og drift av fast eiendom,26323.0,26268.0,26523.0,25951.0,-2.156618783697173,-1.4132127796983585
Overnattings- og serveringsvirksomhet,116230.0,118725.0,121052.0,94698.0,-21.77080923900473,-18.525337692506238
Transport og lagring,140550.0,139441.0,141333.0,129187.0,-8.593888193132527,-8.08466737815724
"Vann, avløp, renovasjon",9366.0,9295.0,9760.0,9789.0,0.29713114754097436,4.516335682254957
"Varehandel, reparasjon av motorvogner",381290.0,384857.0,382233.0,364579.0,-4.618648834611349,-4.382753284901253
